modelversion,watershedID,iteration,infiltration1,infiltration2,infiltration3,quickflow1,quickflow2,quickflow3,aet1,aet2,aet3,baseflow1,baseflow2,baseflow3,snowbalance1,snowbalance2,snowbalance3,pet1,pet2,pet3,potmelt1,potmelt2,potmelt3
0,1,1,0.956541974274019,0.000129822725205557,0.0433282030007753,0.26611703930395,0.733562253842226,0.000320706853824237,0.8278592,0.1721408,NA,0.01360428,0.98639572,NA,0.915070617569654,0.00025336583492348,0.0846760165954228,1,NA,NA,1,NA,NA
0,1,2,0.912564309346812,0.000207056459035813,0.0872286341941523,0.141485527204113,0.264205682716752,0.594308790079135,0.9104046,0.0895954,NA,0.2117908,0.7882092,NA,0.16145530828703,0.835648190638855,0.00289650107411488,1,NA,NA,1,NA,NA
0,1,3,0.638763512363438,0.360118930314761,0.00111755732180119,0.921514332518605,0.0211301154620765,0.0573555520193182,0.262284,0.737716,NA,0.000399160399999987,0.9996008396,NA,0.303435932594855,0.147901169806508,0.548662897598638,1,NA,NA,1,NA,NA
0,1,4,0.933202544958659,0.000695576594785597,0.0661018784465558,0.10494413582168,0.526942837705419,0.368113026472902,0.907389,0.092611,NA,0.00415875899999996,0.995841241,NA,0.719570686268358,0.000310024701785615,0.280119289029857,1,NA,NA,1,NA,NA
0,1,5,0.948025968022482,0.000568483126184653,0.051405548851333,0.349691150298568,0.351924323617791,0.298384526083642,0.9473661,0.0526339,NA,0.002471746,0.997528254,NA,0.218475528214247,0.143936331761775,0.637588140023978,1,NA,NA,1,NA,NA
0,1,6,0.58724753180629,0.411843339607267,0.000909128586443542,0.894450485552988,0.00125383851454322,0.104295675932469,0.9563543,0.0436457,NA,0.4297459,0.5702541,NA,0.281478531983908,0.180205184178436,0.538316283837656,1,NA,NA,1,NA,NA
0,1,7,0.990683348240915,5.91681174583802e-05,0.00925748364162615,0.357230367861082,0.00605976598517804,0.63670986615374,0.877918,0.122082,NA,0.04504774,0.95495226,NA,0.356855148508518,0.000314860630390065,0.642829990861092,1,NA,NA,1,NA,NA
0,1,8,0.946608053041681,0.000326229387622767,0.0530657175706966,0.283997486037933,0.270745037815035,0.445257476147032,0.707496,0.292504,NA,0.04808004,0.95191996,NA,0.483473233994597,0.00115070799877152,0.515376058006631,1,NA,NA,1,NA,NA
0,1,9,0.936661228303668,0.000124815510182333,0.0632139561861492,0.190149026054793,0.210359681318339,0.599491292626868,0.9521991,0.0478009,NA,0.01994509,0.98005491,NA,0.961587762366663,9.36510711986703e-05,0.0383185865621385,1,NA,NA,1,NA,NA
0,1,10,0.982019454958205,2.39191055165641e-05,0.0179566259362787,0.417214705058544,0.323653718207214,0.259131576734242,0.6961283,0.3038717,NA,0.9924637,0.00753630000000005,NA,0.228859934901577,0.0131958259079707,0.757944239190452,1,NA,NA,1,NA,NA
0,1,11,0.914201981374859,0.000166636568581675,0.0856313820565592,0.155566935749197,0.00463439643239463,0.839798667818408,0.7695759,0.2304241,NA,0.3881907,0.6118093,NA,0.209411611519623,0.00177772416563248,0.788810664314745,1,NA,NA,1,NA,NA
0,1,12,0.710485924349092,3.72696101810748e-05,0.289476806040727,0.896699951597301,0.00503428343988474,0.0982657649628146,0.9283331,0.0716669,NA,0.1096261,0.8903739,NA,0.210974588495402,0.221911345519598,0.567114065985,1,NA,NA,1,NA,NA
0,1,13,0.937633342241226,8.71502320522428e-05,0.0622795075267218,0.769521801464867,0.0136254516270757,0.216852746908057,0.7769007,0.2230993,NA,0.1854994,0.8145006,NA,0.351244344918674,0.001867026652021,0.646888628429305,1,NA,NA,1,NA,NA
0,1,14,0.958852703612509,0.000104207585466138,0.0410430888020246,0.285313915064803,0.542264136171114,0.172421948764083,0.9861023,0.0138977,NA,0.0132830900000001,0.98671691,NA,0.470430741073464,0.00705593314470385,0.522513325781832,1,NA,NA,1,NA,NA
